profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,47243.06955
70,3357.4,50,20,4,3/24/2018,4/12/2018,TRUE,FALSE,,
71,-2075.153751,50,20,4,3/24/2018,4/12/2018,FALSE,TRUE,,
72,4042.8,50,20,4,3/24/2018,4/12/2018,TRUE,TRUE,,
73,480.5,50,20,5,3/25/2018,4/13/2018,FALSE,FALSE,,
74,2990.7,50,20,5,3/25/2018,4/13/2018,TRUE,FALSE,,
75,-2441.853751,50,20,5,3/25/2018,4/13/2018,FALSE,TRUE,,
76,3676.1,50,20,5,3/25/2018,4/13/2018,TRUE,TRUE,,
77,439.0967569,50,20,6,3/26/2018,4/14/2018,FALSE,FALSE,,
78,2794.096757,50,20,6,3/26/2018,4/14/2018,TRUE,FALSE,,
79,-2638.456994,50,20,6,3/26/2018,4/14/2018,FALSE,TRUE,,
80,3479.496757,50,20,6,3/26/2018,4/14/2018,TRUE,TRUE,,
81,-226.3768756,50,20,7,3/27/2018,4/15/2018,FALSE,FALSE,,
82,2128.623124,50,20,7,3/27/2018,4/15/2018,TRUE,FALSE,,
83,-2676.176876,50,20,7,3/27/2018,4/15/2018,FALSE,TRUE,,
84,2814.023124,50,20,7,3/27/2018,4/15/2018,TRUE,TRUE,,
85,-779.6064862,60,20,1,3/31/2018,4/19/2018,FALSE,FALSE,,
86,839.6,60,20,1,3/31/2018,4/19/2018,TRUE,FALSE,,
87,-2571.206486,60,20,1,3/31/2018,4/19/2018,FALSE,TRUE,,
88,-1579.6,60,20,1,3/31/2018,4/19/2018,TRUE,TRUE,,
89,-1287.006486,60,20,2,4/1/2018,4/20/2018,FALSE,FALSE,,
90,162.2,60,20,2,4/1/2018,4/20/2018,TRUE,FALSE,,
91,-1893.806486,60,20,2,4/1/2018,4/20/2018,FALSE,TRUE,,
92,-2087,60,20,2,4/1/2018,4/20/2018,TRUE,TRUE,,
93,-1348.706486,60,20,3,4/2/2018,4/21/2018,FALSE,FALSE,,
94,223.9,60,20,3,4/2/2018,4/21/2018,TRUE,FALSE,,
95,-1955.506486,60,20,3,4/2/2018,4/21/2018,FALSE,TRUE,,
96,-2242.9,60,20,3,4/2/2018,4/21/2018,TRUE,TRUE,,
97,-1233.106486,60,20,4,4/3/2018,4/22/2018,FALSE,FALSE,,
98,581.7,60,20,4,4/3/2018,4/22/2018,TRUE,FALSE,,
99,-1597.706486,60,20,4,4/3/2018,4/22/2018,FALSE,TRUE,,
100,-1885.1,60,20,4,4/3/2018,4/22/2018,TRUE,TRUE,,
101,-1029.406486,60,20,5,4/4/2018,4/23/2018,FALSE,FALSE,,
102,785.4,60,20,5,4/4/2018,4/23/2018,TRUE,FALSE,,
103,-1394.006486,60,20,5,4/4/2018,4/23/2018,FALSE,TRUE,,
104,-1681.4,60,20,5,4/4/2018,4/23/2018,TRUE,TRUE,,
105,-942.2064862,60,20,6,4/5/2018,4/24/2018,FALSE,FALSE,,
106,872.6,60,20,6,4/5/2018,4/24/2018,TRUE,FALSE,,
107,-67.60648616,60,20,6,4/5/2018,4/24/2018,FALSE,TRUE,,
108,-1594.2,60,20,6,4/5/2018,4/24/2018,TRUE,TRUE,,
109,-1736.806486,60,20,7,4/6/2018,4/25/2018,FALSE,FALSE,,
110,112,60,20,7,4/6/2018,4/25/2018,TRUE,FALSE,,
111,-862.2064862,60,20,7,4/6/2018,4/25/2018,FALSE,TRUE,,
112,-2388.8,60,20,7,4/6/2018,4/25/2018,TRUE,TRUE,,
113,663.1,70,20,1,4/10/2018,4/29/2018,FALSE,FALSE,,
114,888.3,70,20,1,4/10/2018,4/29/2018,TRUE,FALSE,,
115,2257.7,70,20,1,4/10/2018,4/29/2018,FALSE,TRUE,,
116,383.7,70,20,1,4/10/2018,4/29/2018,TRUE,TRUE,,
117,570.7,70,20,2,4/11/2018,4/30/2018,FALSE,FALSE,,
118,795.9,70,20,2,4/11/2018,4/30/2018,TRUE,FALSE,,
119,2350.1,70,20,2,4/11/2018,4/30/2018,FALSE,TRUE,,
120,610.1,70,20,2,4/11/2018,4/30/2018,TRUE,TRUE,,
121,504.3,70,20,3,4/12/2018,5/1/2018,FALSE,FALSE,,
122,729.5,70,20,3,4/12/2018,5/1/2018,TRUE,FALSE,,
123,2283.7,70,20,3,4/12/2018,5/1/2018,FALSE,TRUE,,
124,676.5,70,20,3,4/12/2018,5/1/2018,TRUE,TRUE,,
125,1641.4,70,20,4,4/13/2018,5/2/2018,FALSE,FALSE,,
126,-407.6,70,20,4,4/13/2018,5/2/2018,TRUE,FALSE,,
127,1146.6,70,20,4,4/13/2018,5/2/2018,FALSE,TRUE,,
128,-460.6,70,20,4,4/13/2018,5/2/2018,TRUE,TRUE,,
129,2138.9,70,20,5,4/14/2018,5/3/2018,FALSE,FALSE,,
130,-955.3,70,20,5,4/14/2018,5/3/2018,TRUE,FALSE,,
131,598.9,70,20,5,4/14/2018,5/3/2018,FALSE,TRUE,,
132,-1008.3,70,20,5,4/14/2018,5/3/2018,TRUE,TRUE,,
133,2201.903243,70,20,6,4/15/2018,5/4/2018,FALSE,FALSE,,
134,-780.2967569,70,20,6,4/15/2018,5/4/2018,TRUE,FALSE,,
135,535.8967569,70,20,6,4/15/2018,5/4/2018,FALSE,TRUE,,
136,-833.2967569,70,20,6,4/15/2018,5/4/2018,TRUE,TRUE,,
137,2711.7,70,20,7,4/16/2018,5/5/2018,FALSE,FALSE,,
138,-586.9,70,20,7,4/16/2018,5/5/2018,TRUE,FALSE,,
139,342.5,70,20,7,4/16/2018,5/5/2018,FALSE,TRUE,,
140,-639.9,70,20,7,4/16/2018,5/5/2018,TRUE,TRUE,,
141,-1590.4,80,20,1,4/20/2018,5/9/2018,FALSE,FALSE,,
