Date,Money Supply
2009-10-08,1226300
2009-10-09,1229800
2009-10-10,1233750
2009-10-11,1237600
2009-10-12,1241300
2009-10-13,1244200
2009-10-14,1247050
2009-10-15,1250500
2009-10-16,1254050
2009-10-17,1257050
2009-10-18,1259900
2009-10-19,1263600
2009-10-20,1269200
2009-10-21,1273950
2009-10-22,1277950
2009-10-23,1282450
2009-10-24,1286900
2009-10-25,1290000
2009-10-26,1293800
2009-10-27,1297350
2009-10-28,1300550
2009-10-29,1303850
2009-10-30,1306150
2009-10-31,1309150
2009-11-01,1311450
2009-11-02,1312700
2009-11-03,1314350
2009-11-04,1317450
2009-11-05,1320600
2009-11-06,1323450
2009-11-07,1326550
2009-11-08,1330000
2009-11-09,1333650
2009-11-10,1336850
2009-11-11,1340750
2009-11-12,1343950
2009-11-13,1347250
2009-11-14,1351250
2009-11-15,1355200
2009-11-16,1360000
2009-11-17,1364850
2009-11-18,1369450
2009-11-19,1373400
2009-11-20,1376900
2009-11-21,1381200
2009-11-22,1384850
2009-11-23,1390150
2009-11-24,1394950
2009-11-25,1399600
2009-11-26,1404100
2009-11-27,1408300
2009-11-28,1412000
2009-11-29,1415550
2009-11-30,1418550
2009-12-01,1422300
2009-12-02,1425950
2009-12-03,1430650
2009-12-04,1435050
2009-12-05,1436850
2009-12-06,1440050
2009-12-07,1445200
2009-12-08,1450800
2009-12-09,1456050
2009-12-10,1460850
2009-12-11,1466050
2009-12-12,1471650
2009-12-13,1477150
2009-12-14,1482850
2009-12-15,1487950
2009-12-16,1493450
2009-12-17,1500250
2009-12-18,1508700
2009-12-19,1519950
2009-12-20,1529850
2009-12-21,1538600
2009-12-22,1547350
2009-12-23,1555450
2009-12-24,1563150
2009-12-25,1570850
2009-12-26,1578300
2009-12-27,1587000
2009-12-28,1595350
2009-12-29,1602200
2009-12-30,1610750
2009-12-31,1617800
2010-01-01,1624700
2010-01-02,1631300
2010-01-03,1637600
2010-01-04,1646900
2010-01-05,1655950
2010-01-06,1665850
2010-01-07,1674000
2010-01-08,1681700
2010-01-09,1689350
2010-01-10,1696900
2010-01-11,1706400
2010-01-12,1714350
2010-01-13,1722300
2010-01-14,1730500
2010-01-15,1737650
2010-01-16,1744700
2010-01-17,1750950
2010-01-18,1757500
2010-01-19,1763750
2010-01-20,1769950
2010-01-21,1777850
2010-01-22,1786600
2010-01-23,1793250
2010-01-24,1801250
2010-01-25,1808950
2010-01-26,1819500
2010-01-27,1829250
2010-01-28,1837450
2010-01-29,1846300
2010-01-30,1856150
2010-01-31,1866650
2010-02-01,1874900
2010-02-02,1884100
2010-02-03,1891350
2010-02-04,1904850
2010-02-05,1916300
2010-02-06,1927450
2010-02-07,1937050
2010-02-08,1947900
2010-02-09,1957900
2010-02-10,1968250
2010-02-11,1976650
2010-02-12,1985100
2010-02-13,1994250
2010-02-14,2005850
2010-02-15,2016250
2010-02-16,2025050
2010-02-17,2034800
2010-02-18,2046750
2010-02-19,2057150
2010-02-20,2066750
2010-02-21,2077150
2010-02-22,2088300
2010-02-23,2101300
2010-02-24,2113800
2010-02-25,2122350
2010-02-26,2130050
2010-02-27,2138650
2010-02-28,2147250
2010-03-01,2155050
2010-03-02,2164800
2010-03-03,2174200
2010-03-04,2181800
2010-03-05,2191050
2010-03-06,2199600
2010-03-07,2208450
2010-03-08,2217400
2010-03-09,2223650
2010-03-10,2230950
2010-03-11,2239050
2010-03-12,2245700
2010-03-13,2251750
2010-03-14,2259400
2010-03-15,2265650
2010-03-16,2272400
2010-03-17,2278700
2010-03-18,2285500
2010-03-19,2292500
2010-03-20,2300150
2010-03-21,2309750
2010-03-22,2318900
2010-03-23,2327850
2010-03-24,2338200
2010-03-25,2346750
2010-03-26,2356100
2010-03-27,2365950
2010-03-28,2374850
2010-03-29,2384150
2010-03-30,2393900
2010-03-31,2404650
2010-04-01,2415100
2010-04-02,2423500
2010-04-03,2431300
2010-04-04,2439350
2010-04-05,2447900
2010-04-06,2455550
2010-04-07,2463500
2010-04-08,2473150
2010-04-09,2482300
2010-04-10,2491750
2010-04-11,2504750
2010-04-12,2515900
2010-04-13,2526050
2010-04-14,2535500
2010-04-15,2544500
2010-04-16,2555300
2010-04-17,2565400
2010-04-18,2576450
2010-04-19,2588700
2010-04-20,2600300
2010-04-21,2610550
2010-04-22,2621500
2010-04-23,2629450
2010-04-24,2636950
2010-04-25,2645350
2010-04-26,2653250
2010-04-27,2661450
2010-04-28,2670450
2010-04-29,2679450
2010-04-30,2686800
2010-05-01,2694000
2010-05-02,2703150
2010-05-03,2710900
2010-05-04,2718850
2010-05-05,2725650
2010-05-06,2732500
2010-05-07,2739950
2010-05-08,2746550
2010-05-09,2754250
2010-05-10,2761400
2010-05-11,2767800
2010-05-12,2773350
2010-05-13,2779700
2010-05-14,2786100
2010-05-15,2792250
2010-05-16,2796800
2010-05-17,2802450
2010-05-18,2809600
2010-05-19,2818000
2010-05-20,2826200
2010-05-21,2836350
2010-05-22,2845150
2010-05-23,2854900
2010-05-24,2865450
2010-05-25,2874850
2010-05-26,2885350
2010-05-27,2896500
2010-05-28,2906100
2010-05-29,2917250
2010-05-30,2926450
2010-05-31,2933900
2010-06-01,2941000
2010-06-02,2947750
2010-06-03,2955100
2010-06-04,2962700
2010-06-05,2968950
2010-06-06,2976200
2010-06-07,2983600
2010-06-08,2991450
2010-06-09,2999450
2010-06-10,3007850
2010-06-11,3015850
2010-06-12,3024250
2010-06-13,3031000
2010-06-14,3039600
2010-06-15,3047650
2010-06-16,3056850
2010-06-17,3063950
2010-06-18,3071250
2010-06-19,3078750
2010-06-20,3086250
2010-06-21,3095500
2010-06-22,3103200
2010-06-23,3111000
2010-06-24,3120350
2010-06-25,3128800
2010-06-26,3136300
2010-06-27,3144250
2010-06-28,3153150
2010-06-29,3160750
2010-06-30,3169200
2010-07-01,3178300
2010-07-02,3188850
2010-07-03,3197200
2010-07-04,3207800
2010-07-05,3216100
2010-07-06,3225050
