Date,Avg. UTXO Amount
2009-09-01,52.7247
2009-09-02,52.7145
2009-09-03,52.7059
2009-09-04,52.7307
2009-09-05,52.7224
2009-09-06,52.7126
2009-09-07,52.7039
2009-09-08,52.7237
2009-09-09,52.7149
2009-09-10,52.7081
2009-09-11,52.6996
2009-09-12,52.6912
2009-09-13,52.6826
2009-09-14,52.6733
2009-09-15,52.6642
2009-09-16,52.6589
2009-09-17,52.6501
2009-09-18,52.8785
2009-09-19,52.8682
2009-09-20,52.8586
2009-09-21,52.8485
2009-09-22,52.8563
2009-09-23,52.9462
2009-09-24,52.9414
2009-09-25,52.9286
2009-09-26,52.9736
2009-09-27,52.9958
2009-09-28,52.9842
2009-09-29,52.9729
2009-09-30,53.0573
2009-10-01,53.0459
2009-10-02,53.035
2009-10-03,53.0463
2009-10-04,53.0386
2009-10-05,53.0316
2009-10-06,53.0243
2009-10-07,53.0486
2009-10-08,53.0407
2009-10-09,53.0315
2009-10-10,53.0212
2009-10-11,53.0112
2009-10-12,53.0017
2009-10-13,53.1596
2009-10-14,53.1519
2009-10-15,53.1427
2009-10-16,53.1332
2009-10-17,53.3055
2009-10-18,53.2975
2009-10-19,53.3007
2009-10-20,53.2852
2009-10-21,53.4936
2009-10-22,53.52
2009-10-23,53.594
2009-10-24,53.5806
2009-10-25,53.5848
2009-10-26,53.5735
2009-10-27,53.563
2009-10-28,53.5867
2009-10-29,53.577
2009-10-30,53.6561
2009-10-31,53.6471
2009-11-01,53.6402
2009-11-02,53.6365
2009-11-03,53.6316
2009-11-04,53.6225
2009-11-05,53.7026
2009-11-06,53.694
2009-11-07,53.6847
2009-11-08,53.6745
2009-11-09,53.6637
2009-11-10,53.6543
2009-11-11,53.7224
2009-11-12,53.7236
2009-11-13,53.7117
2009-11-14,53.7191
2009-11-15,53.7074
2009-11-16,53.6934
2009-11-17,53.6793
2009-11-18,53.666
2009-11-19,53.6547
2009-11-20,53.8314
2009-11-21,53.8186
2009-11-22,53.8077
2009-11-23,53.7921
2009-11-24,53.7781
2009-11-25,53.7646
2009-11-26,53.7516
2009-11-27,53.7396
2009-11-28,53.7291
2009-11-29,53.719
2009-11-30,53.7106
2009-12-01,53.7001
2009-12-02,54.0276
2009-12-03,54.0133
2009-12-04,54
2009-12-05,53.9946
2009-12-06,54.0174
2009-12-07,54.0019
2009-12-08,54.0235
2009-12-09,54.0258
2009-12-10,54.0235
2009-12-11,54.0081
2009-12-12,54.1207
2009-12-13,54.1041
2009-12-14,54.087
2009-12-15,54.7201
2009-12-16,54.7432
2009-12-17,54.7197
2009-12-18,54.7007
2009-12-19,54.6627
2009-12-20,54.6297
2009-12-21,54.6009
2009-12-22,54.5725
2009-12-23,54.5466
2009-12-24,54.5221
2009-12-25,54.498
2009-12-26,54.473
2009-12-27,54.4463
2009-12-28,54.4284
2009-12-29,54.4078
2009-12-30,54.3823
2009-12-31,54.3616
2010-01-01,54.3414
2010-01-02,54.3223
2010-01-03,54.3043
2010-01-04,54.2779
2010-01-05,54.3933
2010-01-06,54.3649
2010-01-07,54.3418
2010-01-08,54.3202
2010-01-09,54.299
2010-01-10,54.2782
2010-01-11,54.2524
2010-01-12,54.231
2010-01-13,54.574
2010-01-14,54.5469
2010-01-15,54.5368
2010-01-16,54.5236
2010-01-17,54.5145
2010-01-18,54.4961
2010-01-19,54.4771
2010-01-20,54.46
2010-01-21,54.4384
2010-01-22,54.4197
2010-01-23,54.4036
2010-01-24,54.3806
2010-01-25,54.3604
2010-01-26,54.4239
2010-01-27,54.4177
2010-01-28,54.4252
2010-01-29,54.4326
2010-01-30,54.431
2010-01-31,54.4514
2010-02-01,54.4554
2010-02-02,54.4443
2010-02-03,54.4571
2010-02-04,54.429
2010-02-05,54.4527
2010-02-06,54.7945
2010-02-07,54.7932
2010-02-08,54.7686
2010-02-09,54.9201
2010-02-10,55.5328
2010-02-11,56.4596
2010-02-12,56.5394
2010-02-13,56.5809
2010-02-14,56.6672
2010-02-15,56.6999
2010-02-16,56.7909
2010-02-17,56.7666
2010-02-18,56.7438
2010-02-19,56.7834
2010-02-20,56.7461
2010-02-21,56.7248
2010-02-22,56.8709
2010-02-23,57.2265
2010-02-24,57.1776
2010-02-25,57.3004
2010-02-26,57.485
2010-02-27,57.4721
2010-02-28,57.4484
2010-03-01,57.5739
2010-03-02,57.5775
2010-03-03,57.5932
2010-03-04,57.7303
2010-03-05,58.2819
2010-03-06,58.2444
2010-03-07,58.3382
2010-03-08,58.468
2010-03-09,58.7087
2010-03-10,58.7974
2010-03-11,58.8094
2010-03-12,58.8727
2010-03-13,58.8524
2010-03-14,58.8707
2010-03-15,58.8542
2010-03-16,58.8187
2010-03-17,58.8234
2010-03-18,58.8258
2010-03-19,58.9862
2010-03-20,59.0403
2010-03-21,59.0789
2010-03-22,59.0396
2010-03-23,59.048
2010-03-24,59.0947
2010-03-25,59.0868
2010-03-26,59.5321
2010-03-27,59.5732
2010-03-28,59.5693
2010-03-29,59.5308
2010-03-30,59.5675
2010-03-31,59.524
2010-04-01,59.5043
2010-04-02,59.4885
2010-04-03,59.4741
2010-04-04,59.463
2010-04-05,59.5031
2010-04-06,59.6166
2010-04-07,59.6966
2010-04-08,59.7841
2010-04-09,59.8029
2010-04-10,59.905
2010-04-11,60.18
2010-04-12,60.303
2010-04-13,60.4145
2010-04-14,60.3964
2010-04-15,60.3864
2010-04-16,61.2195
2010-04-17,61.432
2010-04-18,61.4479
2010-04-19,57.5254
2010-04-20,57.8089
2010-04-21,58.0006
2010-04-22,58.1071
2010-04-23,58.1017
2010-04-24,58.0621
2010-04-25,58.1805
2010-04-26,58.3196
2010-04-27,58.3447
2010-04-28,58.3322
2010-04-29,58.4013
2010-04-30,58.3985
2010-05-01,58.3875
2010-05-02,58.4086
2010-05-03,58.4321
2010-05-04,58.553
2010-05-05,58.6578
2010-05-06,58.8153
2010-05-07,59.1156
2010-05-08,59.1942
2010-05-09,59.4549
2010-05-10,59.5142
2010-05-11,59.6354
2010-05-12,59.6381
2010-05-13,59.7425
2010-05-14,59.8119
2010-05-15,60.9648
2010-05-16,62.302
2010-05-17,62.3085
2010-05-18,62.405
2010-05-19,62.464
2010-05-20,62.5293
2010-05-21,62.5477
2010-05-22,62.6437
2010-05-23,62.9137
2010-05-24,62.97
2010-05-25,62.9869
2010-05-26,63.0292
2010-05-27,63.1115
2010-05-28,63.1981
2010-05-29,63.1891
2010-05-30,63.2732
2010-05-31,63.2742
2010-06-01,63.3249
2010-06-02,63.3312
2010-06-03,63.3218
2010-06-04,63.4588
2010-06-05,63.4391
2010-06-06,63.4557
2010-06-07,63.4876
2010-06-08,63.7713
2010-06-09,63.8289
2010-06-10,63.8921
2010-06-11,63.8748
2010-06-12,63.8931
2010-06-13,63.8966
2010-06-14,63.935
2010-06-15,64.0343
2010-06-16,64.0191
2010-06-17,64.1222
2010-06-18,64.1072
2010-06-19,64.1527
2010-06-20,64.3277
2010-06-21,64.3288
2010-06-22,64.319
2010-06-23,64.3713
2010-06-24,64.3902
2010-06-25,64.4277
2010-06-26,64.3925
2010-06-27,64.3707
