"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs","btc_tec_regs_lag1_only","twitter_and_btc_regs_and_lag1"
62,1965.50000000004,40,20,4,"2018-03-14","2018-04-02",TRUE,FALSE,FALSE,FALSE
63,-1558.85375124,40,20,4,"2018-03-14","2018-04-02",FALSE,TRUE,FALSE,FALSE
64,1965.50000000004,40,20,4,"2018-03-14","2018-04-02",TRUE,TRUE,FALSE,FALSE
65,1810.29999999998,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE,TRUE,FALSE
66,1282.90000000004,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE,FALSE,TRUE
67,-770.4,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,FALSE,FALSE
68,2583.95375124004,40,20,5,"2018-03-15","2018-04-03",TRUE,FALSE,FALSE,FALSE
69,-712.153751239981,40,20,5,"2018-03-15","2018-04-03",FALSE,TRUE,FALSE,FALSE
70,2583.95375124004,40,20,5,"2018-03-15","2018-04-03",TRUE,TRUE,FALSE,FALSE
71,537.4,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,TRUE,FALSE
72,2822.2,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,FALSE,TRUE
73,-1464.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE,FALSE,FALSE
74,2572.45375124004,40,20,6,"2018-03-16","2018-04-04",TRUE,FALSE,FALSE,FALSE
75,-2674.45375123998,40,20,6,"2018-03-16","2018-04-04",FALSE,TRUE,FALSE,FALSE
76,2572.45375124004,40,20,6,"2018-03-16","2018-04-04",TRUE,TRUE,FALSE,FALSE
77,1231.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE,TRUE,FALSE
78,3913.30000000002,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE,FALSE,TRUE
79,-1481,40,20,7,"2018-03-17","2018-04-05",FALSE,FALSE,FALSE,FALSE
80,1890.20000000002,40,20,7,"2018-03-17","2018-04-05",TRUE,FALSE,FALSE,FALSE
81,-1566.20000000002,40,20,7,"2018-03-17","2018-04-05",FALSE,TRUE,FALSE,FALSE
82,1890.20000000002,40,20,7,"2018-03-17","2018-04-05",TRUE,TRUE,FALSE,FALSE
83,465.246248760001,40,20,7,"2018-03-17","2018-04-05",FALSE,FALSE,TRUE,FALSE
84,1629.60000000002,40,20,7,"2018-03-17","2018-04-05",FALSE,FALSE,FALSE,TRUE
85,-2129.6,50,20,1,"2018-03-21","2018-04-09",FALSE,FALSE,FALSE,FALSE
86,3302.60000000002,50,20,1,"2018-03-21","2018-04-09",TRUE,FALSE,FALSE,FALSE
87,-932.553751240001,50,20,1,"2018-03-21","2018-04-09",FALSE,TRUE,FALSE,FALSE
88,3302.60000000002,50,20,1,"2018-03-21","2018-04-09",TRUE,TRUE,FALSE,FALSE
89,564.799999999979,50,20,1,"2018-03-21","2018-04-09",FALSE,FALSE,TRUE,FALSE
90,2999.80000000002,50,20,1,"2018-03-21","2018-04-09",FALSE,FALSE,FALSE,TRUE
91,-2051.1,50,20,2,"2018-03-22","2018-04-10",FALSE,FALSE,FALSE,FALSE
92,1747.45375124004,50,20,2,"2018-03-22","2018-04-10",TRUE,FALSE,FALSE,FALSE
93,-2353.9,50,20,2,"2018-03-22","2018-04-10",FALSE,TRUE,FALSE,FALSE
94,1747.45375124004,50,20,2,"2018-03-22","2018-04-10",TRUE,TRUE,FALSE,FALSE
95,-363.100000000042,50,20,2,"2018-03-22","2018-04-10",FALSE,FALSE,TRUE,FALSE
96,2396.05375124002,50,20,2,"2018-03-22","2018-04-10",FALSE,FALSE,FALSE,TRUE
97,-1756.19999999999,50,20,3,"2018-03-23","2018-04-11",FALSE,FALSE,FALSE,FALSE
98,1664.55375124003,50,20,3,"2018-03-23","2018-04-11",TRUE,FALSE,FALSE,FALSE
99,-2321.39999999999,50,20,3,"2018-03-23","2018-04-11",FALSE,TRUE,FALSE,FALSE
100,1664.55375124003,50,20,3,"2018-03-23","2018-04-11",TRUE,TRUE,FALSE,FALSE
101,1407.79999999997,50,20,3,"2018-03-23","2018-04-11",FALSE,FALSE,TRUE,FALSE
102,1998.80000000001,50,20,3,"2018-03-23","2018-04-11",FALSE,FALSE,FALSE,TRUE
103,-1002.39999999999,50,20,4,"2018-03-24","2018-04-12",FALSE,FALSE,FALSE,FALSE
104,4325.20000000001,50,20,4,"2018-03-24","2018-04-12",TRUE,FALSE,FALSE,FALSE
105,28.2462487599878,50,20,4,"2018-03-24","2018-04-12",FALSE,TRUE,FALSE,FALSE
106,4325.20000000001,50,20,4,"2018-03-24","2018-04-12",TRUE,TRUE,FALSE,FALSE
107,11.7999999999683,50,20,4,"2018-03-24","2018-04-12",FALSE,FALSE,TRUE,FALSE
108,2752.60000000001,50,20,4,"2018-03-24","2018-04-12",FALSE,FALSE,FALSE,TRUE
109,-635.700000000011,50,20,5,"2018-03-25","2018-04-13",FALSE,FALSE,FALSE,FALSE
110,3265.45375124003,50,20,5,"2018-03-25","2018-04-13",TRUE,FALSE,FALSE,FALSE
111,-2040.65375124001,50,20,5,"2018-03-25","2018-04-13",FALSE,TRUE,FALSE,FALSE
112,1327.65375124003,50,20,5,"2018-03-25","2018-04-13",TRUE,TRUE,FALSE,FALSE
113,2771.89999999997,50,20,5,"2018-03-25","2018-04-13",FALSE,FALSE,TRUE,FALSE
114,1454.89999999999,50,20,5,"2018-03-25","2018-04-13",FALSE,FALSE,FALSE,TRUE
115,-439.09675692001,50,20,6,"2018-03-26","2018-04-14",FALSE,FALSE,FALSE,FALSE
116,993.650508160011,50,20,6,"2018-03-26","2018-04-14",TRUE,FALSE,FALSE,FALSE
117,-3565.65699431999,50,20,6,"2018-03-26","2018-04-14",FALSE,TRUE,FALSE,FALSE
118,859.650508160011,50,20,6,"2018-03-26","2018-04-14",TRUE,TRUE,FALSE,FALSE
119,2813.30324307997,50,20,6,"2018-03-26","2018-04-14",FALSE,FALSE,TRUE,FALSE
120,1205.09675691999,50,20,6,"2018-03-26","2018-04-14",FALSE,FALSE,FALSE,TRUE
121,226.37687562,50,20,7,"2018-03-27","2018-04-15",FALSE,FALSE,FALSE,FALSE
122,2146.82312438002,50,20,7,"2018-03-27","2018-04-15",TRUE,FALSE,FALSE,FALSE
123,-1094.21663822004,50,20,7,"2018-03-27","2018-04-15",FALSE,TRUE,FALSE,FALSE
124,2146.82312438002,50,20,7,"2018-03-27","2018-04-15",TRUE,TRUE,FALSE,FALSE
125,2825.01663821998,50,20,7,"2018-03-27","2018-04-15",FALSE,FALSE,TRUE,FALSE
126,1878.02312438002,50,20,7,"2018-03-27","2018-04-15",FALSE,FALSE,FALSE,TRUE
127,1432.60000000001,60,20,1,"2018-03-31","2018-04-19",FALSE,FALSE,FALSE,FALSE
128,-146.399999999988,60,20,1,"2018-03-31","2018-04-19",TRUE,FALSE,FALSE,FALSE
129,1233.40648615999,60,20,1,"2018-03-31","2018-04-19",FALSE,TRUE,FALSE,FALSE
130,-146.399999999988,60,20,1,"2018-03-31","2018-04-19",TRUE,TRUE,FALSE,FALSE
131,-42.006486160034,60,20,1,"2018-03-31","2018-04-19",FALSE,FALSE,TRUE,FALSE
132,-146.399999999988,60,20,1,"2018-03-31","2018-04-19",FALSE,FALSE,FALSE,TRUE
133,1940,60,20,2,"2018-04-01","2018-04-20",FALSE,FALSE,FALSE,FALSE
134,3001.99351384002,60,20,2,"2018-04-01","2018-04-20",TRUE,FALSE,FALSE,FALSE
