profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,5355.294117
1,-353.3,30,20,1,7/12/2018,7/31/2018,FALSE,FALSE,,
2,19.3,30,20,1,7/12/2018,7/31/2018,TRUE,FALSE,,
3,-132.5,30,20,1,7/12/2018,7/31/2018,FALSE,TRUE,,
4,-939.1,30,20,1,7/12/2018,7/31/2018,TRUE,TRUE,,
5,-356.8,30,20,2,7/13/2018,8/1/2018,FALSE,FALSE,,
6,15.8,30,20,2,7/13/2018,8/1/2018,TRUE,FALSE,,
7,-136,30,20,2,7/13/2018,8/1/2018,FALSE,TRUE,,
8,-942.6,30,20,2,7/13/2018,8/1/2018,TRUE,TRUE,,
9,-257,30,20,3,7/14/2018,8/2/2018,FALSE,FALSE,,
10,115.6,30,20,3,7/14/2018,8/2/2018,TRUE,FALSE,,
11,-36.2,30,20,3,7/14/2018,8/2/2018,FALSE,TRUE,,
12,-842.8,30,20,3,7/14/2018,8/2/2018,TRUE,TRUE,,
13,-171.8,30,20,4,7/15/2018,8/3/2018,FALSE,FALSE,,
14,260.8,30,20,4,7/15/2018,8/3/2018,TRUE,FALSE,,
15,109,30,20,4,7/15/2018,8/3/2018,FALSE,TRUE,,
16,-697.6,30,20,4,7/15/2018,8/3/2018,TRUE,TRUE,,
17,332.1843451,30,20,5,7/16/2018,8/4/2018,FALSE,FALSE,,
18,570.3843451,30,20,5,7/16/2018,8/4/2018,TRUE,FALSE,,
19,612.9843451,30,20,5,7/16/2018,8/4/2018,FALSE,TRUE,,
20,-193.6156549,30,20,5,7/16/2018,8/4/2018,TRUE,TRUE,,
21,701.6,30,20,6,7/17/2018,8/5/2018,FALSE,FALSE,,
22,175.8,30,20,6,7/17/2018,8/5/2018,TRUE,FALSE,,
23,982.4,30,20,6,7/17/2018,8/5/2018,FALSE,TRUE,,
24,200.9686901,30,20,6,7/17/2018,8/5/2018,TRUE,TRUE,,
25,1207.6,30,20,7,7/18/2018,8/6/2018,FALSE,FALSE,,
26,851,30,20,7,7/18/2018,8/6/2018,TRUE,FALSE,,
27,1488.4,30,20,7,7/18/2018,8/6/2018,FALSE,TRUE,,
28,876.1686901,30,20,7,7/18/2018,8/6/2018,TRUE,TRUE,,
29,600.9,40,20,1,7/22/2018,8/10/2018,FALSE,FALSE,,
30,173.6686901,40,20,1,7/22/2018,8/10/2018,TRUE,FALSE,,
31,1846.7,40,20,1,7/22/2018,8/10/2018,FALSE,TRUE,,
32,667.8686901,40,20,1,7/22/2018,8/10/2018,TRUE,TRUE,,
33,508.7,40,20,2,7/23/2018,8/11/2018,FALSE,FALSE,,
34,81.46869014,40,20,2,7/23/2018,8/11/2018,TRUE,FALSE,,
35,1766.1,40,20,2,7/23/2018,8/11/2018,FALSE,TRUE,,
36,760.0686901,40,20,2,7/23/2018,8/11/2018,TRUE,TRUE,,
37,267.3,40,20,3,7/24/2018,8/12/2018,FALSE,FALSE,,
38,484.4686901,40,20,3,7/24/2018,8/12/2018,TRUE,FALSE,,
39,1524.7,40,20,3,7/24/2018,8/12/2018,FALSE,TRUE,,
40,1163.06869,40,20,3,7/24/2018,8/12/2018,TRUE,TRUE,,
41,875.5,40,20,4,7/25/2018,8/13/2018,FALSE,FALSE,,
42,-123.7313099,40,20,4,7/25/2018,8/13/2018,TRUE,FALSE,,
43,792.5,40,20,4,7/25/2018,8/13/2018,FALSE,TRUE,,
44,430.8686901,40,20,4,7/25/2018,8/13/2018,TRUE,TRUE,,
45,1150,40,20,5,7/26/2018,8/14/2018,FALSE,FALSE,,
46,-272.4313099,40,20,5,7/26/2018,8/14/2018,TRUE,FALSE,,
47,941.2,40,20,5,7/26/2018,8/14/2018,FALSE,TRUE,,
48,156.3686901,40,20,5,7/26/2018,8/14/2018,TRUE,TRUE,,
49,829.4,40,20,6,7/27/2018,8/15/2018,FALSE,FALSE,,
50,-430.6313099,40,20,6,7/27/2018,8/15/2018,TRUE,FALSE,,
51,783,40,20,6,7/27/2018,8/15/2018,FALSE,TRUE,,
52,-1.83130986,40,20,6,7/27/2018,8/15/2018,TRUE,TRUE,,
53,1123.8,40,20,7,7/28/2018,8/16/2018,FALSE,FALSE,,
54,-136.2313099,40,20,7,7/28/2018,8/16/2018,TRUE,FALSE,,
55,986.6,40,20,7,7/28/2018,8/16/2018,FALSE,TRUE,,
56,201.7686901,40,20,7,7/28/2018,8/16/2018,TRUE,TRUE,,
57,353.6,50,20,1,8/1/2018,8/20/2018,FALSE,FALSE,,
58,-407.7243048,50,20,1,8/1/2018,8/20/2018,TRUE,FALSE,,
59,242.2,50,20,1,8/1/2018,8/20/2018,FALSE,TRUE,,
60,273.9686901,50,20,1,8/1/2018,8/20/2018,TRUE,TRUE,,
61,5.1,50,20,2,8/2/2018,8/21/2018,FALSE,FALSE,,
62,-59.22430478,50,20,2,8/2/2018,8/21/2018,TRUE,FALSE,,
63,-106.3,50,20,2,8/2/2018,8/21/2018,FALSE,TRUE,,
64,622.4686901,50,20,2,8/2/2018,8/21/2018,TRUE,TRUE,,
65,-181,50,20,3,8/3/2018,8/22/2018,FALSE,FALSE,,
66,-245.3243048,50,20,3,8/3/2018,8/22/2018,TRUE,FALSE,,
67,-292.4,50,20,3,8/3/2018,8/22/2018,FALSE,TRUE,,
68,436.3686901,50,20,3,8/3/2018,8/22/2018,TRUE,TRUE,,
69,-459.6,50,20,4,8/4/2018,8/23/2018,FALSE,FALSE,,
70,-523.9243048,50,20,4,8/4/2018,8/23/2018,TRUE,FALSE,,
71,-244.2,50,20,4,8/4/2018,8/23/2018,FALSE,TRUE,,
72,484.5686901,50,20,4,8/4/2018,8/23/2018,TRUE,TRUE,,
73,-699.9843451,50,20,5,8/5/2018,8/24/2018,FALSE,FALSE,,
74,-764.3086498,50,20,5,8/5/2018,8/24/2018,TRUE,FALSE,,
75,-484.5843451,50,20,5,8/5/2018,8/24/2018,FALSE,TRUE,,
76,244.1843451,50,20,5,8/5/2018,8/24/2018,TRUE,TRUE,,
77,-648.1,50,20,6,8/6/2018,8/25/2018,FALSE,FALSE,,
78,-737.5929949,50,20,6,8/6/2018,8/25/2018,TRUE,FALSE,,
79,-511.3,50,20,6,8/6/2018,8/25/2018,FALSE,TRUE,,
80,192.3,50,20,6,8/6/2018,8/25/2018,TRUE,TRUE,,
81,-589.4,50,20,7,8/7/2018,8/26/2018,FALSE,FALSE,,
82,-848.0929949,50,20,7,8/7/2018,8/26/2018,TRUE,FALSE,,
83,-400.8,50,20,7,8/7/2018,8/26/2018,FALSE,TRUE,,
84,81.8,50,20,7,8/7/2018,8/26/2018,TRUE,TRUE,,
85,-791.5,60,20,1,8/11/2018,8/30/2018,FALSE,FALSE,,
86,1047.1,60,20,1,8/11/2018,8/30/2018,TRUE,FALSE,,
87,-627.7929949,60,20,1,8/11/2018,8/30/2018,FALSE,TRUE,,
88,185.5,60,20,1,8/11/2018,8/30/2018,TRUE,TRUE,,
89,-733.7,60,20,2,8/12/2018,8/31/2018,FALSE,FALSE,,
90,932.1,60,20,2,8/12/2018,8/31/2018,TRUE,FALSE,,
91,-512.7929949,60,20,2,8/12/2018,8/31/2018,FALSE,TRUE,,
92,127.7,60,20,2,8/12/2018,8/31/2018,TRUE,TRUE,,
93,-470.1,60,20,3,8/13/2018,9/1/2018,FALSE,FALSE,,
