profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,7745.260638
70,556.1686901,50,20,4,8/4/2018,8/23/2018,TRUE,FALSE,,
71,-564.4,50,20,4,8/4/2018,8/23/2018,FALSE,TRUE,,
72,870.2616851,50,20,4,8/4/2018,8/23/2018,TRUE,TRUE,,
73,-319.6156549,50,20,5,8/5/2018,8/24/2018,FALSE,FALSE,,
74,315.7843451,50,20,5,8/5/2018,8/24/2018,TRUE,FALSE,,
75,8.78434507,50,20,5,8/5/2018,8/24/2018,FALSE,TRUE,,
76,629.87734,50,20,5,8/5/2018,8/24/2018,TRUE,TRUE,,
77,-292.9,50,20,6,8/6/2018,8/25/2018,FALSE,FALSE,,
78,342.5,50,20,6,8/6/2018,8/25/2018,TRUE,FALSE,,
79,-43.1,50,20,6,8/6/2018,8/25/2018,FALSE,TRUE,,
80,577.9929949,50,20,6,8/6/2018,8/25/2018,TRUE,TRUE,,
81,-234.2,50,20,7,8/7/2018,8/26/2018,FALSE,FALSE,,
82,232,50,20,7,8/7/2018,8/26/2018,TRUE,FALSE,,
83,15.6,50,20,7,8/7/2018,8/26/2018,FALSE,TRUE,,
84,467.4929949,50,20,7,8/7/2018,8/26/2018,TRUE,TRUE,,
85,839.3,60,20,1,8/11/2018,8/30/2018,FALSE,FALSE,,
86,706.1,60,20,1,8/11/2018,8/30/2018,TRUE,FALSE,,
87,756.3,60,20,1,8/11/2018,8/30/2018,FALSE,TRUE,,
88,518.3,60,20,1,8/11/2018,8/30/2018,TRUE,TRUE,,
89,781.5,60,20,2,8/12/2018,8/31/2018,FALSE,FALSE,,
90,591.1,60,20,2,8/12/2018,8/31/2018,TRUE,FALSE,,
91,871.3,60,20,2,8/12/2018,8/31/2018,FALSE,TRUE,,
92,460.5,60,20,2,8/12/2018,8/31/2018,TRUE,TRUE,,
93,883.5,60,20,3,8/13/2018,9/1/2018,FALSE,FALSE,,
94,327.5,60,20,3,8/13/2018,9/1/2018,TRUE,FALSE,,
95,973.3,60,20,3,8/13/2018,9/1/2018,FALSE,TRUE,,
96,562.5,60,20,3,8/13/2018,9/1/2018,TRUE,TRUE,,
97,1048.1,60,20,4,8/14/2018,9/2/2018,FALSE,FALSE,,
98,368.1,60,20,4,8/14/2018,9/2/2018,TRUE,FALSE,,
99,1137.9,60,20,4,8/14/2018,9/2/2018,FALSE,TRUE,,
100,603.1,60,20,4,8/14/2018,9/2/2018,TRUE,TRUE,,
101,1078.8,60,20,5,8/15/2018,9/3/2018,FALSE,FALSE,,
